price,area,bedrooms,bathrooms,location,city,property_type,built_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms,property_url
2.95 Crore,5 Marla,3 Beds,3 Baths,"Faisal Town - F-18, Islamabad, Islamabad Capital",Islamabad,House,,,,,1,1,https://www.zameen.com/Property/islamabad_faisal_town_-_f-18_5_marla_house_in_faisal_town_-_f-18_is_available_for_sale-53872408-8260-1.html
7.35 Crore,10 Marla,5 Beds,5 Baths,"G-9, Islamabad, Islamabad Capital",Islamabad,House,,,,,,,https://www.zameen.com/Property/g_9_g-9_4_cda_sector_g-9_4_35_70_5-bedroom_liveable_house_for_sale-54241558-3387-1.html
8.75 Crore,10 Marla,5 Beds,5 Baths,"G-10, Islamabad, Islamabad Capital",Islamabad,House,,,,,,,https://www.zameen.com/Property/g_10_g-10_4_g-10_4_main_sawan_road_35_70_5_bedrooms_livable_house_for_sale-54241510-3327-1.html
13 Crore,10 Marla,5 Beds,5 Baths,"D-12, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,,1,1,1,https://www.zameen.com/Property/d_12_d-12_1_corner_brand_new_house_for_sale_in_d_12-52932983-3154-1.html
5.3 Crore,4 Marla,3 Beds,3 Baths,"D-12, Islamabad, Islamabad Capital",Islamabad,House,,,,,1,1,https://www.zameen.com/Property/d_12_d-12_1_stunning_4_marla_house_in_d-12_1_available-54232728-3154-1.html
9.5 Crore,1 Kanal,6 Beds,7 Baths,"Top City 1, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,1,2,1,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_b_4500_sq_ft_prime_location_near_school_market_mosque_ready_to_move_designer_house_for_sale_block-b_top_city-1_islamabad-54045926-9230-1.html
5.5 Crore,6 Marla,4 Beds,5 Baths,"E-11, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,1,1,,1,1,https://www.zameen.com/Property/e_11_e-11_4_on_excellent_location_house_for_sale-54135802-3241-1.html
6.95 Crore,10 Marla,-,-,"Lehtrar Road, Islamabad, Islamabad Capital",Islamabad,House,,3,1,1,3,1,https://www.zameen.com/Property/lehtrar_road_rahman_enclave_elegant_cda_approved_10_marla_triple_story_luxury_house_for_sale_in_islamabad_rehman_enclave-54079022-17143-1.html
2.4 Crore,5 Marla,3 Beds,3 Baths,"Bahria Town, Islamabad, Islamabad Capital",Islamabad,House,,,1,1,1,1,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_h_house_of_5_marla_is_available_for_sale-54207683-11983-1.html
4.25 Crore,8 Marla,5 Beds,6 Baths,"Kuri Road, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,1,1,1,2,1,https://www.zameen.com/Property/kuri_road_phaf_officers_residencia_pha_officer_residencia_kuri_road_islamabad_brand_new_house-52793657-13099-1.html
5.5 Crore,16 Marla,6 Beds,7 Baths,"Bani Gala, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,1,2,2,1,https://www.zameen.com/Property/islamabad_bani_gala_16_marla_house_with_solar_installed_in_bani_gala-54127626-340-1.html
22 Crore,2 Kanal,7 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,2,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_dha2_1_5_kanal_owner_built_full_furnished_house-54060075-339-1.html
13.8 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,2,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_dha2_one_kanal_designer_house_for_sale-54037324-339-1.html
46 Crore,2.5 Kanal,8 Beds,6 Baths,"F-8, Islamabad, Islamabad Capital",Islamabad,House,Furnished,8,2,2,2,1,https://www.zameen.com/Property/islamabad_f-8_f_8_park_facing_1244_square_yards_house_available_80_140_marglla_facing-52809060-166-1.html
24.5 Crore,1 Kanal,6 Beds,6 Baths,"F-8, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,6,2,2,2,1,https://www.zameen.com/Property/islamabad_f-8_f_8_corner_house_available_50_90_sun_facing_beautiful_location-52989398-166-1.html
55 Crore,2.5 Kanal,5 Beds,6 Baths,"F-7, Islamabad, Islamabad Capital",Islamabad,House,Furnished,10,1,2,2,1,https://www.zameen.com/Property/f_7_f-7_3_f_7_house_available_80_140_house_near_margla_road-53022784-3309-1.html
69 Crore,2.2 Kanal,10 Beds,6 Baths,"F-10, Islamabad, Islamabad Capital",Islamabad,House,Furnished,10,1,2,2,1,https://www.zameen.com/Property/islamabad_f-10_f_10_brand_new_house_available_81_125_1111_square_yards_stylish_and_latest_designer_house-53059629-162-1.html
65 Crore,4 Kanal,10 Beds,6 Baths,"F-8, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,20,3,2,2,1,https://www.zameen.com/Property/islamabad_f-8_f_8_house_available_100_180_2000_square_yards_near_margla_road-53178415-166-1.html
3.8 Crore,7 Marla,5 Beds,5 Baths,"Faisal Town - F-18, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,1,1,1,2,https://www.zameen.com/Property/islamabad_faisal_town_-_f-18_faisal_town_for_sale_house_7_marla-53747281-8260-1.html
2.85 Crore,5 Marla,4 Beds,4 Baths,"Faisal Town - F-18, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,2,2,1,2,https://www.zameen.com/Property/islamabad_faisal_town_-_f-18_faisal_town_5_marla_house_for_sale-53769612-8260-1.html
3.9 Crore,7 Marla,5 Beds,5 Baths,"Faisal Town - F-18, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,1,1,2,2,https://www.zameen.com/Property/islamabad_faisal_town_-_f-18_faisal_town_for_sale_house-53627960-8260-1.html
6.5 Crore,7 Marla,5 Beds,5 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,,Other Main Features,1,1,2,1,https://www.zameen.com/Property/islamabad_g-13_7_marla_house_for_sale_in_g-13-54150017-330-1.html
8 Crore,14.2 Marla,6 Beds,6 Baths,"G-14, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,1,1,1,2,1,https://www.zameen.com/Property/g_14_g-14_3_become_owner_of_your_house_today_which_is_centrally_located_in_g-14_3_in_islamabad-54150016-3345-1.html
1.6 Crore,5 Marla,3 Beds,4 Baths,"Bani Gala, Islamabad, Islamabad Capital",Islamabad,House,Floors: 2,1,2,,1,1,https://www.zameen.com/Property/islamabad_bani_gala_5_marla_one_amp_half_story_house_for_sale-54111665-340-1.html
1.25 Crore,5 Marla,2 Beds,3 Baths,"Bani Gala, Islamabad, Islamabad Capital",Islamabad,House,Floors: 1,1,,,1,1,https://www.zameen.com/Property/islamabad_bani_gala_5_marla_single_story_house_for_sale-54181105-340-1.html
10 Crore,1.6 Kanal,8 Beds,6 Baths,"Bani Gala, Islamabad, Islamabad Capital",Islamabad,House,,2,1,1,1,1,https://www.zameen.com/Property/islamabad_bani_gala_31_marla_beautiful_house-54202667-340-1.html
